File,L_taps,mu,tau_v_samples,tau_q_samples,W_X,W_Y,W_Z,BPR_Single_dB,BPR_Dual_dB,BPR_gain_dB,MSE_BL_Single,MSE_BL_Dual,PCC_Single,PCC_Dual,Retention_Single_%,Retention_Dual_%,Retention_gain_pp
s10_sit.csv,16,0.1,-101,40,0.2325103371032325,0.33415286937873845,0.4333367935180291,2.5014580921207092,3.6955474328174054,1.1940893406966961,0.0014169306148149093,0.0010763156367967646,0.6364187629230851,0.6699533492456322,98.84105960264901,100.0,1.1589403973509889
s10_walk.csv,16,0.1,23,150,0.2980700795884206,0.3509649602057897,0.3509649602057897,2.931336953328731,5.836074637632289,2.904737684303558,0.003403908946804008,0.001743830084447235,0.6894306896809093,0.7196313383765836,99.85875706214689,100.0,0.14124293785310726
s10_run.csv,16,0.1,4,-78,0.13081191421781935,0.5046881507884196,0.36449993499376104,2.3336354940411197,4.738022655332569,2.404387161291449,0.0082730367682674,0.004755829082475738,0.6570097442333126,0.6902944928789783,99.75874547647769,99.87937273823884,0.12062726176115746
s10_sit.csv,64,0.1,-101,40,0.2325103371032325,0.33415286937873845,0.4333367935180291,4.062689216920448,4.771975919394393,0.7092867024739453,0.0009890664519944777,0.0008400338776040476,0.6686444542066337,0.6823076130953101,99.66887417218543,100.0,0.33112582781457434
s10_walk.csv,64,0.1,23,150,0.2980700795884206,0.3509649602057897,0.3509649602057897,1.274573491768378,6.659310879476916,5.384737387708538,0.004984875092773143,0.0014427149813054222,0.6902897667120437,0.7327781836063795,100.0,100.0,0.0
s10_run.csv,64,0.1,4,-78,0.13081191421781935,0.5046881507884196,0.36449993499376104,-0.038514814996022904,4.505506751924507,4.54402156692053,0.014284991470838178,0.005017389639144961,0.698397104861998,0.7229388675390678,99.87937273823884,99.87937273823884,0.0
s10_sit.csv,128,0.1,-101,40,0.2325103371032325,0.33415286937873845,0.4333367935180291,3.8571095236152413,5.638739587545121,1.7816300639298799,0.001037011185144327,0.0006880506890050847,0.6863463585624314,0.6942321008357344,100.0,100.0,0.0
s10_walk.csv,128,0.1,23,150,0.2980700795884206,0.3509649602057897,0.3509649602057897,2.935007592301528,9.017028289311288,6.08202069700976,0.0034010331925191342,0.0008383180176334125,0.7201929791538378,0.7439176859871153,100.0,100.0,0.0
s10_run.csv,128,0.1,4,-78,0.13081191421781935,0.5046881507884196,0.36449993499376104,2.1571270466665857,5.670267128500491,3.5131400818339054,0.008616200554290248,0.0038370882786100827,0.7238516498608808,0.7368213825376451,99.87937273823884,99.87937273823884,0.0
s10_sit.csv,256,0.1,-101,40,0.2325103371032325,0.33415286937873845,0.4333367935180291,4.063514268739854,5.960682789511576,1.8971685207717224,0.0009888785717421073,0.0006388900342694774,0.6992231128465153,0.7072367180344041,100.0,100.0,0.0
